Date,Open,High,Low,Close,Adj Close,Volume
2024-04-01,151.830002,157.000000,151.649994,156.500000,156.500000,24469800
2024-04-02,154.750000,155.990005,153.460007,155.869995,155.869995,17598100
2024-04-03,154.919998,156.550003,154.132004,156.369995,156.369995,17266200
2024-04-04,155.080002,156.179993,151.880005,151.940002,151.940002,24184800
2024-04-05,151.679993,154.839996,151.080994,153.940002,153.940002,16289800
2024-04-08,154.014999,156.654999,153.990005,156.139999,156.139999,16641500
2024-04-09,157.350006,159.889999,156.639999,158.139999,158.139999,21538100
2024-04-10,157.880005,158.160004,156.199997,157.660004,157.660004,16339200
2024-04-11,158.339996,161.119995,157.929993,160.789993,160.789993,17841700
2024-04-12,159.404999,161.699997,158.600006,159.190002,159.190002,16968200
2024-04-15,160.279999,160.830002,156.149994,156.330002,156.330002,21140900
2024-04-16,155.639999,157.229996,155.050003,156.000000,156.000000,15413200
2024-04-17,157.190002,158.681000,156.134995,156.880005,156.880005,16237800
2024-04-18,156.925003,158.485001,156.210007,157.460007,157.460007,14016100
2024-04-19,157.750000,157.990005,153.910004,155.720001,155.720001,20063900
2024-04-22,156.009995,159.184998,155.660004,157.949997,157.949997,17243900
2024-04-23,158.589996,160.479996,157.964996,159.919998,159.919998,16115400
2024-04-24,159.089996,161.389999,158.820007,161.100006,161.100006,19485700
2024-04-25,153.360001,158.279999,152.768005,157.949997,157.949997,36197800
2024-04-26,175.990005,176.419998,171.399994,173.690002,173.690002,55186700
